line,stop,borough,structure,gtfs_latitude,gtfs_longitude,north_direction_label,south_direction_label
N W,Astoria - Ditmars Blvd,Q,Elevated,40.775036,-73.912034,,Manhattan
N W,Astoria Blvd,Q,Elevated,40.770258,-73.917843,Ditmars Blvd,Manhattan
N W,30 Av,Q,Elevated,40.766779,-73.921479,Astoria - Ditmars Blvd,Manhattan
N W,Broadway,Q,Elevated,40.76182,-73.925508,Astoria - Ditmars Blvd,Manhattan
N W,36 Av,Q,Elevated,40.756804,-73.929575,Astoria - Ditmars Blvd,Manhattan
N W,39 Av,Q,Elevated,40.752882,-73.932755,Astoria - Ditmars Blvd,Manhattan
N W R,Lexington Av/59 St,M,Subway,40.76266,-73.967258,Queens,Downtown & Brooklyn
N W R,5 Av/59 St,M,Subway,40.764811,-73.973347,Queens,Downtown & Brooklyn
N Q R W,57 St - 7 Av,M,Subway,40.764664,-73.980658,Uptown & Queens,Downtown & Brooklyn
N R W,49 St,M,Subway,40.759901,-73.984139,Uptown & Queens,Downtown & Brooklyn
N Q R W,Times Sq - 42 St,M,Subway,40.754672,-73.986754,Uptown & Queens,Downtown & Brooklyn
N Q R W,34 St - Herald Sq,M,Subway,40.749567,-73.98795,Uptown & Queens,Downtown & Brooklyn
R W,28 St,M,Subway,40.745494,-73.988691,Uptown & Queens,Downtown & Brooklyn
R W,23 St,M,Subway,40.741303,-73.989344,Uptown & Queens,Downtown & Brooklyn
N Q R W,14 St - Union Sq,M,Subway,40.735736,-73.990568,Uptown & Queens,Downtown & Brooklyn
R W,8 St - NYU,M,Subway,40.730328,-73.992629,Uptown & Queens,Downtown & Brooklyn
R W,Prince St,M,Subway,40.724329,-73.997702,Uptown & Queens,Downtown & Brooklyn
R W,Canal St,M,Subway,40.719527,-74.001775,Uptown & Queens,Downtown & Brooklyn
N Q,Canal St,M,Subway,40.718383,-74.00046,Uptown & Queens,Downtown & Brooklyn
R W,City Hall,M,Subway,40.713282,-74.006978,Uptown & Queens,Downtown & Brooklyn
R W,Cortlandt St,M,Subway,40.710668,-74.011029,Uptown & Queens,Downtown & Brooklyn
R W,Rector St,M,Subway,40.70722,-74.013342,Uptown & Queens,Downtown & Brooklyn
R W,Whitehall St,M,Subway,40.703087,-74.012994,Uptown & Queens,Brooklyn
R,Court St,Bk,Subway,40.6941,-73.991777,Manhattan,Bay Ridge - 95 St
R,Jay St - MetroTech,Bk,Subway,40.69218,-73.985942,Manhattan,Bay Ridge - 95 St
B Q R,DeKalb Av,Bk,Subway,40.690635,-73.981824,Manhattan,Coney Island - Bay Ridge
D N R,Atlantic Av - Barclays Ctr,Bk,Subway,40.683666,-73.97881,Manhattan,Coney Island - Bay Ridge
R,Union St,Bk,Subway,40.677316,-73.98311,Manhattan,Bay Ridge - 95 St
R,9 St,Bk,Subway,40.670847,-73.988302,Manhattan,Bay Ridge - 95 St
R,Prospect Av,Bk,Subway,40.665414,-73.992872,Manhattan,Bay Ridge - 95 St
R,25 St,Bk,Subway,40.660397,-73.998091,Manhattan,Bay Ridge - 95 St
D N R,36 St,Bk,Subway,40.655144,-74.003549,Manhattan,Coney Island - Bay Ridge
R,45 St,Bk,Subway,40.648939,-74.010006,Manhattan,Bay Ridge - 95 St
R,53 St,Bk,Subway,40.645069,-74.014034,Manhattan,Bay Ridge - 95 St
N R,59 St,Bk,Subway,40.641362,-74.017881,Manhattan,Coney Island - Bay Ridge
R,Bay Ridge Av,Bk,Subway,40.634967,-74.023377,Manhattan,95 St
R,77 St,Bk,Subway,40.629742,-74.02551,Manhattan,95 St
R,86 St,Bk,Subway,40.622687,-74.028398,Manhattan,95 St
R,Bay Ridge - 95 St,Bk,Subway,40.616622,-74.030876,Manhattan,
B Q,Atlantic Av - Barclays Ctr,Bk,Subway,40.68446,-73.97689,Manhattan,Brighton Beach & Coney Island
B Q,7 Av,Bk,Subway,40.67705,-73.972367,Manhattan,Brighton Beach & Coney Island
B Q,Prospect Park,Bk,Open Cut,40.661614,-73.962246,Manhattan & Franklin Av,Brighton Beach & Coney Island
B Q,Parkside Av,Bk,Open Cut,40.655292,-73.961495,Manhattan,Brighton Beach & Coney Island
B Q,Church Av,Bk,Open Cut,40.650527,-73.962982,Manhattan,Brighton Beach & Coney Island
B Q,Beverley Rd,Bk,Open Cut,40.644031,-73.964492,Manhattan,Brighton Beach & Coney Island
B Q,Cortelyou Rd,Bk,Open Cut,40.640927,-73.963891,Manhattan,Brighton Beach & Coney Island
B Q,Newkirk Plaza,Bk,Open Cut,40.635082,-73.962793,Manhattan,Brighton Beach & Coney Island
B Q,Avenue H,Bk,Open Cut,40.62927,-73.961639,Manhattan,Brighton Beach & Coney Island
B Q,Avenue J,Bk,Open Cut,40.625039,-73.960803,Manhattan,Brighton Beach & Coney Island
B Q,Avenue M,Bk,Open Cut,40.617618,-73.959399,Manhattan,Brighton Beach & Coney Island
B Q,Kings Hwy,Bk,Open Cut,40.60867,-73.957734,Manhattan,Brighton Beach & Coney Island
B Q,Avenue U,Bk,Open Cut,40.5993,-73.955929,Manhattan,Brighton Beach & Coney Island
B Q,Neck Rd,Bk,Open Cut,40.595246,-73.955161,Manhattan,Brighton Beach & Coney Island
B Q,Sheepshead Bay,Bk,Open Cut,40.586896,-73.954155,Manhattan,Brighton Beach & Coney Island
B Q,Brighton Beach,Bk,Elevated,40.577621,-73.961376,Manhattan,Coney Island
