line,stop,borough,structure,gtfs_latitude,gtfs_longitude
N W,Astoria - Ditmars Blvd,Q,Elevated,40.775036,-73.912034
N W,Astoria Blvd,Q,Elevated,40.770258,-73.917843
N W,30 Av,Q,Elevated,40.766779,-73.921479
N W,Broadway,Q,Elevated,40.76182,-73.925508
N W,36 Av,Q,Elevated,40.756804,-73.929575
N W,39 Av,Q,Elevated,40.752882,-73.932755
N W R,Lexington Av/59 St,M,Subway,40.76266,-73.967258
N W R,5 Av/59 St,M,Subway,40.764811,-73.973347
N Q R W,57 St - 7 Av,M,Subway,40.764664,-73.980658
N R W,49 St,M,Subway,40.759901,-73.984139
N Q R W,Times Sq - 42 St,M,Subway,40.754672,-73.986754
N Q R W,34 St - Herald Sq,M,Subway,40.749567,-73.98795
R W,28 St,M,Subway,40.745494,-73.988691
R W,23 St,M,Subway,40.741303,-73.989344
N Q R W,14 St - Union Sq,M,Subway,40.735736,-73.990568
R W,8 St - NYU,M,Subway,40.730328,-73.992629
R W,Prince St,M,Subway,40.724329,-73.997702
R W,Canal St,M,Subway,40.719527,-74.001775
N Q,Canal St,M,Subway,40.718383,-74.00046
R W,City Hall,M,Subway,40.713282,-74.006978
R W,Cortlandt St,M,Subway,40.710668,-74.011029
R W,Rector St,M,Subway,40.70722,-74.013342
R W,Whitehall St,M,Subway,40.703087,-74.012994
R,Court St,Bk,Subway,40.6941,-73.991777
R,Jay St - MetroTech,Bk,Subway,40.69218,-73.985942
B Q R,DeKalb Av,Bk,Subway,40.690635,-73.981824
D N R,Atlantic Av - Barclays Ctr,Bk,Subway,40.683666,-73.97881
R,Union St,Bk,Subway,40.677316,-73.98311
R,9 St,Bk,Subway,40.670847,-73.988302
R,Prospect Av,Bk,Subway,40.665414,-73.992872
R,25 St,Bk,Subway,40.660397,-73.998091
D N R,36 St,Bk,Subway,40.655144,-74.003549
R,45 St,Bk,Subway,40.648939,-74.010006
R,53 St,Bk,Subway,40.645069,-74.014034
N R,59 St,Bk,Subway,40.641362,-74.017881
R,Bay Ridge Av,Bk,Subway,40.634967,-74.023377
R,77 St,Bk,Subway,40.629742,-74.02551
R,86 St,Bk,Subway,40.622687,-74.028398
R,Bay Ridge - 95 St,Bk,Subway,40.616622,-74.030876
B Q,Atlantic Av - Barclays Ctr,Bk,Subway,40.68446,-73.97689
B Q,7 Av,Bk,Subway,40.67705,-73.972367
B Q,Prospect Park,Bk,Open Cut,40.661614,-73.962246
B Q,Parkside Av,Bk,Open Cut,40.655292,-73.961495
B Q,Church Av,Bk,Open Cut,40.650527,-73.962982
B Q,Beverley Rd,Bk,Open Cut,40.644031,-73.964492
B Q,Cortelyou Rd,Bk,Open Cut,40.640927,-73.963891
B Q,Newkirk Plaza,Bk,Open Cut,40.635082,-73.962793
